course_id,coupon_type,coupon_code
5727398,free_targeted,2024-JAN31-5727398
5316788,free_targeted,2024-JAN31-5316788
5528884,free_targeted,2024-JAN31-5528884
5221876,free_targeted,2024-JAN31-5221876
4392922,free_targeted,2024-JAN31-4392922
3731444,free_targeted,2024-JAN31-3731444
3418642,free_targeted,2024-JAN31-3418642
2321788,free_targeted,2024-JAN31-2321788
2276701,free_targeted,2024-JAN31-2276701
2187592,free_targeted,2024-JAN31-2187592
1878846,free_targeted,2024-JAN31-1878846
1865400,free_targeted,2024-JAN31-1865400
1864936,free_targeted,2024-JAN31-1864936
1733494,free_targeted,2024-JAN31-1733494
1465666,free_targeted,2024-JAN31-1465666
1432416,free_targeted,2024-JAN31-1432416
1427824,free_targeted,2024-JAN31-1427824
1340588,free_targeted,2024-JAN31-1340588
1294480,free_targeted,2024-JAN31-1294480
1242424,free_targeted,2024-JAN31-1242424
1147478,free_targeted,2024-JAN31-1147478
